"","PctFFood","percnt_ltfpl100","percnt_singlparntfly","percnt_black","percnt_dropout","percnt_hhnocar","percnt_rentoccup","percnt_crowding","percnt_nonemp","percnt_unemp","percnt_highneeds","percnt_hispanic","percnt_frgnborn","percnt_lingisol"
"PctFFood",1,0.0236752672682688,0.206209371753518,0.112458379527865,-0.00739162651394653,-0.0160056591378129,0.217361069917048,-0.0355363602112752,0.0985490259134841,0.159505336813879,-0.105108239929738,0.0837294645051006,0.122463275727964,0.0629329394381462
"percnt_ltfpl100",0.0236752672682688,1,0.593811532794792,0.473794121576582,0.651419964510452,0.43989834484123,0.348463183358125,0.303170513659053,0.659273398338855,0.427848853938208,0.103904993730402,0.0863702436244991,-0.0625965005929177,0.0917770316520957
"percnt_singlparntfly",0.206209371753518,0.593811532794792,1,0.560792203201218,0.407838018978447,0.526654872605258,0.559929689665967,0.375068883826618,0.523601509612326,0.233309654940541,-0.13404475897831,0.153778437412055,0.145299586553573,0.185538683375403
"percnt_black",0.112458379527865,0.473794121576582,0.560792203201218,1,0.355428033180655,0.35764672802707,0.299873050499629,0.034553416186351,0.471245868137131,0.105119937872251,-0.0795273893702968,-0.10956600014823,-0.0110517838268429,-0.0554746882192634
"percnt_dropout",-0.00739162651394653,0.651419964510452,0.407838018978447,0.355428033180655,1,0.307374881312276,0.0971670052093611,0.378822697750303,0.465580027879189,0.372638922867857,-0.0856021230606756,0.403061361377154,0.189357627530921,0.398971682507891
"percnt_hhnocar",-0.0160056591378129,0.43989834484123,0.526654872605258,0.35764672802707,0.307374881312276,1,0.451398778299294,0.399820235289858,0.406368415013121,0.157939961794604,-0.006305574018795,0.00302226239361805,0.130451663929863,0.149106812693958
"percnt_rentoccup",0.217361069917048,0.348463183358125,0.559929689665967,0.299873050499629,0.0971670052093611,0.451398778299294,1,0.311545958430858,0.23747634877033,0.0340500903689006,-0.0189318267301007,0.212590512395455,0.406224836898066,0.283433551767509
"percnt_crowding",-0.0355363602112752,0.303170513659053,0.375068883826618,0.034553416186351,0.378822697750303,0.399820235289858,0.311545958430858,1,0.275359852635956,0.0797371691935696,-0.140415933981298,0.464414763030186,0.418465916289727,0.526687375070141
"percnt_nonemp",0.0985490259134841,0.659273398338855,0.523601509612326,0.471245868137131,0.465580027879189,0.406368415013121,0.23747634877033,0.275359852635956,1,0.778173631393905,-0.0285051084180995,0.0156051672355655,-0.0168501808246668,0.0223016783459894
"percnt_unemp",0.159505336813879,0.427848853938208,0.233309654940541,0.105119937872251,0.372638922867857,0.157939961794604,0.0340500903689006,0.0797371691935696,0.778173631393905,1,0.00488096530762071,0.0715778401157743,0.0162682744534961,0.0478056486775828
"percnt_highneeds",-0.105108239929738,0.103904993730402,-0.13404475897831,-0.0795273893702968,-0.0856021230606756,-0.006305574018795,-0.0189318267301007,-0.140415933981298,-0.0285051084180995,0.00488096530762071,1,-0.0724607742075543,-0.140890559388935,-0.0400210401646288
"percnt_hispanic",0.0837294645051006,0.0863702436244991,0.153778437412055,-0.10956600014823,0.403061361377154,0.00302226239361805,0.212590512395455,0.464414763030186,0.0156051672355655,0.0715778401157743,-0.0724607742075543,1,0.677950105714274,0.843800344416099
"percnt_frgnborn",0.122463275727964,-0.0625965005929177,0.145299586553573,-0.0110517838268429,0.189357627530921,0.130451663929863,0.406224836898066,0.418465916289727,-0.0168501808246668,0.0162682744534961,-0.140890559388935,0.677950105714274,1,0.792427073188875
"percnt_lingisol",0.0629329394381462,0.0917770316520957,0.185538683375403,-0.0554746882192634,0.398971682507891,0.149106812693958,0.283433551767509,0.526687375070141,0.0223016783459894,0.0478056486775828,-0.0400210401646288,0.843800344416099,0.792427073188875,1
