"","FIPS","State","County","FFRPTH11","FFRPTH16","FFRPTH12","FFRPTH13","FFRPTH14","FFRPTH15"
"1",1001,"AL","Autauga",0.615953188,0.7959767,NA,NA,NA,0.7959767
"2",1003,"AL","Baldwin",0.648675309,0.751774622,NA,NA,NA,0.751774622
"3",1005,"AL","Barbour",0.694672955,0.892372158,NA,NA,NA,0.892372158
"4",1007,"AL","Bibb",0.26379424,0.309282905,NA,NA,NA,0.309282905
"5",1009,"AL","Blount",0.347451444,0.39956916,NA,NA,NA,0.39956916
"6",1011,"AL","Bullock",0.37470726,0.2873288,NA,NA,NA,0.2873288
"7",1013,"AL","Butler",0.814176245,0.901577761,NA,NA,NA,0.901577761
"8",1015,"AL","Calhoun",0.772594133,0.826230649,NA,NA,NA,0.826230649
"9",1017,"AL","Chambers",0.675854368,0.860100246,NA,NA,NA,0.860100246
"10",1019,"AL","Cherokee",0.654022237,0.58216254,NA,NA,NA,0.58216254
"11",1021,"AL","Chilton",0.480681194,0.501939311,NA,NA,NA,0.501939311
"12",1023,"AL","Choctaw",0.440949511,0.459770115,NA,NA,NA,0.459770115
"13",1025,"AL","Clarke",0.938159643,1.026694045,NA,NA,NA,1.026694045
"14",1027,"AL","Clay",0.292226768,0.298284862,NA,NA,NA,0.298284862
"15",1029,"AL","Cleburne",0.535905681,0.336179654,NA,NA,NA,0.336179654
"16",1031,"AL","Coffee",0.71380418,0.780990687,NA,NA,NA,0.780990687
"17",1033,"AL","Colbert",0.880184839,0.97557384,NA,NA,NA,0.97557384
"18",1035,"AL","Conecuh",0.227496777,0.559328805,NA,NA,NA,0.559328805
"19",1037,"AL","Coosa",0,0.092515496,NA,NA,NA,0.092515496
"20",1039,"AL","Covington",0.604992503,0.722195474,NA,NA,NA,0.722195474
"21",1041,"AL","Crenshaw",0.287811196,0.575249874,NA,NA,NA,0.575249874
"22",1043,"AL","Cullman",0.646677693,0.765287529,NA,NA,NA,0.765287529
"23",1045,"AL","Dale",0.638633325,0.710977492,NA,NA,NA,0.710977492
"24",1047,"AL","Dallas",0.462363603,0.623736933,NA,NA,NA,0.623736933
"25",1049,"AL","DeKalb",0.54657828,0.561671534,NA,NA,NA,0.561671534
"26",1051,"AL","Elmore",0.399970002,0.480059084,NA,NA,NA,0.480059084
"27",1053,"AL","Escambia",0.602062719,0.747144839,NA,NA,NA,0.747144839
"28",1055,"AL","Etowah",0.728290243,0.82744388,NA,NA,NA,0.82744388
"29",1057,"AL","Fayette",0.879765396,0.786068448,NA,NA,NA,0.786068448
"30",1059,"AL","Franklin",0.535146536,0.538366533,NA,NA,NA,0.538366533
"31",1061,"AL","Geneva",0.411061286,0.377130789,NA,NA,NA,0.377130789
"32",1063,"AL","Greene",0,0.235626767,NA,NA,NA,0.235626767
"33",1065,"AL","Hale",0.26045058,0.673536741,NA,NA,NA,0.673536741
"34",1067,"AL","Henry",0.575506446,0.76058975,NA,NA,NA,0.76058975
"35",1069,"AL","Houston",0.888082133,1.113532297,NA,NA,NA,1.113532297
"36",1071,"AL","Jackson",0.563782605,0.61480528,NA,NA,NA,0.61480528
